OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR,
00-0000,All Occupations,total,652100,1.3,21.99,45740,1.5,9.18,11.9,17.47,26.74,38.71,19100,24760,36350,55610,80510,2018,
11-0000,Management Occupations,major,31180,2.6,49.67,103320,1.5,19.9,28.6,42.37,61.46,87.13,41400,59490,88120,127850,181230,2018,
11-1011,Chief Executives,detailed,1210,6.1,73.53,152940,2.8,28.36,41.72,61.92,95.4,,58980,86770,128800,198420,,2018,
11-1021,General and Operations Managers,detailed,10360,4.4,48.99,101900,2.1,17.27,24.89,38.13,61.21,96.22,35920,51770,79310,127320,200130,2018,
11-2011,Advertising and Promotions Managers,detailed,60,16.8,53.04,110320,10.4,18.64,26.74,44.61,78.86,98.1,38770,55630,92780,164030,204050,2018,
11-2021,Marketing Managers,detailed,870,9.4,62.47,129940,7.7,26.36,36.62,48.55,76.17,,54840,76170,100990,158430,,2018,
11-2022,Sales Managers,detailed,1460,9.4,60.51,125860,5.8,23.72,35.81,54.77,74.92,,49350,74490,113920,155840,,2018,
11-2031,Public Relations and Fundraising Managers,detailed,220,19.8,40.33,83880,3.6,21.55,26.02,39.33,52.98,61.48,44830,54130,81820,110200,127890,2018,
11-3011,Administrative Services Managers,detailed,1120,6.6,37.83,78680,2.6,19.35,25.12,34.03,46.3,61.14,40240,52240,70770,96310,127160,2018,
11-3021,Computer and Information Systems Managers,detailed,1520,5.7,63.27,131610,2.5,37.16,48.33,60.73,74.97,92.75,77300,100530,126320,155930,192920,2018,
11-3031,Financial Managers,detailed,2510,8,60.38,125580,3,27.6,35.34,52.67,73.15,,57400,73500,109560,152150,,2018,
11-3051,Industrial Production Managers,detailed,1030,5.3,49.38,102700,2.6,27.67,34.98,46.16,59.65,76.57,57550,72760,96010,124070,159260,2018,
11-3061,Purchasing Managers,detailed,290,17.3,60.24,125290,4.1,32.03,40.95,57.06,72.48,88.91,66620,85180,118690,150760,184920,2018,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,800,13.4,45.85,95380,1.5,30.9,36.67,44.9,54.4,63.73,64270,76280,93380,113160,132560,2018,
11-3111,Compensation and Benefits Managers,detailed,30,21.4,45.8,95260,6,22.04,33.73,45.72,58.77,67.74,45840,70150,95110,122240,140900,2018,
11-3121,Human Resources Managers,detailed,590,8,51.37,106860,1.7,30.25,37.49,49.75,61.55,77.04,62920,77970,103480,128030,160250,2018,
11-3131,Training and Development Managers,detailed,160,10,49.87,103730,4.2,23.04,35.27,51.39,61.35,73.57,47920,73360,106900,127610,153020,2018,
11-9021,Construction Managers,detailed,720,9.9,44.64,92860,5.5,23.46,29.69,36.39,49.65,75.3,48790,61750,75680,103270,156630,2018,
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,220,17.7,20.8,43270,7.4,12.61,14.14,19.49,24.64,32.95,26230,29410,40530,51250,68530,2018,
11-9032,"Education Administrators, Elementary and Secondary School",detailed,1110,2.4,,99770,5.3,,,,,,67550,82850,99440,120440,134380,2018,
11-9033,"Education Administrators, Postsecondary",detailed,380,12,42.16,87690,5.5,20.8,27.01,36.17,49.74,68.58,43270,56170,75230,103450,142640,2018,
11-9039,"Education Administrators, All Other",detailed,80,32.6,30.03,62470,3.8,20.65,24.08,28.3,33.93,44.26,42940,50080,58860,70580,92050,2018,
11-9041,Architectural and Engineering Managers,detailed,710,12,57.33,119240,2.7,33.13,44.05,56.53,69.28,82.01,68920,91620,117590,144100,170590,2018,
11-9051,Food Service Managers,detailed,910,14.3,26.44,54990,4.2,16.9,20.12,24.87,29.78,40.4,35150,41850,51730,61950,84030,2018,
11-9061,Funeral Service Managers,detailed,60,26.6,44.18,91900,9.4,31.95,34.05,37.49,45.66,81.65,66460,70830,77990,94970,169830,2018,
11-9081,Lodging Managers,detailed,120,22.3,22.16,46100,6.9,13.48,15.62,22.25,28.08,30.97,28040,32500,46270,58410,64410,2018,
11-9111,Medical and Health Services Managers,detailed,1510,9.3,43.4,90270,2.5,25.56,29.87,37.86,50.02,65.45,53160,62120,78740,104030,136130,2018,
11-9121,Natural Sciences Managers,detailed,50,17.4,67,139360,5.7,44.12,51.65,61.95,77.09,96.05,91780,107440,128850,160340,199790,2018,
11-9131,Postmasters and Mail Superintendents,detailed,50,0,38.42,79910,1.3,32.25,34.13,36.76,42.64,47.03,67090,70990,76450,88700,97830,2018,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,890,14.2,24.08,50080,7.7,10.85,15.75,22.82,29.37,38.21,22570,32760,47460,61080,79470,2018,
11-9151,Social and Community Service Managers,detailed,650,12,34.54,71830,4.8,20.38,25.06,31.22,41.82,55.55,42400,52120,64940,86970,115540,2018,
