,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR,Unnamed: 19
0,00-0000,All Occupations,total,652100.0,1.3,21.99,45740.0,1.5,9.18,11.9,17.47,26.74,38.71,19100.0,24760.0,36350.0,55610.0,80510.0,2018,
1,11-0000,Management Occupations,major,31180.0,2.6,49.67,103320.0,1.5,19.9,28.6,42.37,61.46,87.13,41400.0,59490.0,88120.0,127850.0,181230.0,2018,
2,11-1011,Chief Executives,detailed,1210.0,6.1,73.53,152940.0,2.8,28.36,41.72,61.92,95.4,,58980.0,86770.0,128800.0,198420.0,,2018,
3,11-1021,General and Operations Managers,detailed,10360.0,4.4,48.99,101900.0,2.1,17.27,24.89,38.13,61.21,96.22,35920.0,51770.0,79310.0,127320.0,200130.0,2018,
4,11-2011,Advertising and Promotions Managers,detailed,60.0,16.8,53.04,110320.0,10.4,18.64,26.74,44.61,78.86,98.1,38770.0,55630.0,92780.0,164030.0,204050.0,2018,
5,11-2021,Marketing Managers,detailed,870.0,9.4,62.47,129940.0,7.7,26.36,36.62,48.55,76.17,,54840.0,76170.0,100990.0,158430.0,,2018,
6,11-2022,Sales Managers,detailed,1460.0,9.4,60.51,125860.0,5.8,23.72,35.81,54.77,74.92,,49350.0,74490.0,113920.0,155840.0,,2018,
7,11-2031,Public Relations and Fundraising Managers,detailed,220.0,19.8,40.33,83880.0,3.6,21.55,26.02,39.33,52.98,61.48,44830.0,54130.0,81820.0,110200.0,127890.0,2018,
8,11-3011,Administrative Services Managers,detailed,1120.0,6.6,37.83,78680.0,2.6,19.35,25.12,34.03,46.3,61.14,40240.0,52240.0,70770.0,96310.0,127160.0,2018,
9,11-3021,Computer and Information Systems Managers,detailed,1520.0,5.7,63.27,131610.0,2.5,37.16,48.33,60.73,74.97,92.75,77300.0,100530.0,126320.0,155930.0,192920.0,2018,
10,11-3031,Financial Managers,detailed,2510.0,8.0,60.38,125580.0,3.0,27.6,35.34,52.67,73.15,,57400.0,73500.0,109560.0,152150.0,,2018,
11,11-3051,Industrial Production Managers,detailed,1030.0,5.3,49.38,102700.0,2.6,27.67,34.98,46.16,59.65,76.57,57550.0,72760.0,96010.0,124070.0,159260.0,2018,
12,11-3061,Purchasing Managers,detailed,290.0,17.3,60.24,125290.0,4.1,32.03,40.95,57.06,72.48,88.91,66620.0,85180.0,118690.0,150760.0,184920.0,2018,
13,11-3071,"Transportation, Storage, and Distribution Managers",detailed,800.0,13.4,45.85,95380.0,1.5,30.9,36.67,44.9,54.4,63.73,64270.0,76280.0,93380.0,113160.0,132560.0,2018,
14,11-3111,Compensation and Benefits Managers,detailed,30.0,21.4,45.8,95260.0,6.0,22.04,33.73,45.72,58.77,67.74,45840.0,70150.0,95110.0,122240.0,140900.0,2018,
15,11-3121,Human Resources Managers,detailed,590.0,8.0,51.37,106860.0,1.7,30.25,37.49,49.75,61.55,77.04,62920.0,77970.0,103480.0,128030.0,160250.0,2018,
16,11-3131,Training and Development Managers,detailed,160.0,10.0,49.87,103730.0,4.2,23.04,35.27,51.39,61.35,73.57,47920.0,73360.0,106900.0,127610.0,153020.0,2018,
17,11-9021,Construction Managers,detailed,720.0,9.9,44.64,92860.0,5.5,23.46,29.69,36.39,49.65,75.3,48790.0,61750.0,75680.0,103270.0,156630.0,2018,
18,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,220.0,17.7,20.8,43270.0,7.4,12.61,14.14,19.49,24.64,32.95,26230.0,29410.0,40530.0,51250.0,68530.0,2018,
19,11-9032,"Education Administrators, Elementary and Secondary School",detailed,1110.0,2.4,,99770.0,5.3,,,,,,67550.0,82850.0,99440.0,120440.0,134380.0,2018,
20,11-9033,"Education Administrators, Postsecondary",detailed,380.0,12.0,42.16,87690.0,5.5,20.8,27.01,36.17,49.74,68.58,43270.0,56170.0,75230.0,103450.0,142640.0,2018,
21,11-9039,"Education Administrators, All Other",detailed,80.0,32.6,30.03,62470.0,3.8,20.65,24.08,28.3,33.93,44.26,42940.0,50080.0,58860.0,70580.0,92050.0,2018,
22,11-9041,Architectural and Engineering Managers,detailed,710.0,12.0,57.33,119240.0,2.7,33.13,44.05,56.53,69.28,82.01,68920.0,91620.0,117590.0,144100.0,170590.0,2018,
23,11-9051,Food Service Managers,detailed,910.0,14.3,26.44,54990.0,4.2,16.9,20.12,24.87,29.78,40.4,35150.0,41850.0,51730.0,61950.0,84030.0,2018,
24,11-9061,Funeral Service Managers,detailed,60.0,26.6,44.18,91900.0,9.4,31.95,34.05,37.49,45.66,81.65,66460.0,70830.0,77990.0,94970.0,169830.0,2018,
25,11-9081,Lodging Managers,detailed,120.0,22.3,22.16,46100.0,6.9,13.48,15.62,22.25,28.08,30.97,28040.0,32500.0,46270.0,58410.0,64410.0,2018,
26,11-9111,Medical and Health Services Managers,detailed,1510.0,9.3,43.4,90270.0,2.5,25.56,29.87,37.86,50.02,65.45,53160.0,62120.0,78740.0,104030.0,136130.0,2018,
27,11-9121,Natural Sciences Managers,detailed,50.0,17.4,67.0,139360.0,5.7,44.12,51.65,61.95,77.09,96.05,91780.0,107440.0,128850.0,160340.0,199790.0,2018,
28,11-9131,Postmasters and Mail Superintendents,detailed,50.0,0.0,38.42,79910.0,1.3,32.25,34.13,36.76,42.64,47.03,67090.0,70990.0,76450.0,88700.0,97830.0,2018,
29,11-9141,"Property, Real Estate, and Community Association Managers",detailed,890.0,14.2,24.08,50080.0,7.7,10.85,15.75,22.82,29.37,38.21,22570.0,32760.0,47460.0,61080.0,79470.0,2018,
30,11-9151,Social and Community Service Managers,detailed,650.0,12.0,34.54,71830.0,4.8,20.38,25.06,31.22,41.82,55.55,42400.0,52120.0,64940.0,86970.0,115540.0,2018,
31,11-9199,"Managers, All Other",detailed,1350.0,9.8,48.34,100550.0,1.9,22.64,33.47,47.9,60.56,75.31,47090.0,69610.0,99630.0,125970.0,156650.0,2018,
32,13-0000,Business and Financial Operations Occupations,major,30420.0,5.8,31.07,64630.0,1.6,16.69,21.01,28.26,37.44,48.62,34710.0,43710.0,58780.0,77870.0,101130.0,2018,
33,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,30.0,46.2,26.21,54520.0,23.5,11.3,14.18,19.64,38.79,45.94,23510.0,29490.0,40860.0,80670.0,95560.0,2018,
34,13-1020,Buyers and Purchasing Agents,detailed,1730.0,14.8,28.1,58440.0,1.4,17.23,20.66,26.02,33.95,42.06,35840.0,42970.0,54120.0,70620.0,87490.0,2018,
35,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,2570.0,6.3,24.9,51800.0,8.8,16.81,18.55,22.46,30.36,37.95,34960.0,38580.0,46710.0,63140.0,78930.0,2018,
36,13-1041,Compliance Officers,detailed,890.0,7.1,30.57,63580.0,4.0,17.61,22.41,29.7,38.09,45.57,36630.0,46620.0,61770.0,79220.0,94780.0,2018,
37,13-1051,Cost Estimators,detailed,910.0,8.7,32.27,67110.0,2.3,18.35,24.0,31.99,39.56,47.9,38170.0,49910.0,66530.0,82270.0,99640.0,2018,
38,13-1071,Human Resources Specialists,detailed,2560.0,5.8,27.93,58100.0,1.2,16.63,20.73,26.69,33.92,39.69,34600.0,43120.0,55520.0,70560.0,82560.0,2018,
39,13-1075,Labor Relations Specialists,detailed,750.0,22.2,27.55,57300.0,11.3,8.34,16.08,26.62,39.72,47.43,17340.0,33450.0,55360.0,82620.0,98660.0,2018,
40,13-1081,Logisticians,detailed,840.0,31.0,36.28,75460.0,3.6,18.79,24.64,34.39,45.99,58.59,39080.0,51240.0,71540.0,95650.0,121860.0,2018,
41,13-1111,Management Analysts,detailed,1990.0,13.6,36.73,76390.0,3.0,19.39,26.36,34.0,44.55,56.33,40320.0,54830.0,70720.0,92660.0,117170.0,2018,
42,13-1121,"Meeting, Convention, and Event Planners",detailed,340.0,12.7,18.45,38380.0,4.3,10.83,13.2,17.07,22.54,29.43,22520.0,27450.0,35510.0,46880.0,61220.0,2018,
43,13-1131,Fundraisers,detailed,180.0,17.2,22.74,47300.0,2.7,15.45,17.9,22.33,27.55,30.95,32130.0,37240.0,46440.0,57290.0,64370.0,2018,
44,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,290.0,19.3,26.03,54140.0,2.2,18.26,20.96,24.1,30.11,38.86,37970.0,43590.0,50140.0,62630.0,80820.0,2018,
45,13-1151,Training and Development Specialists,detailed,1420.0,6.8,26.63,55390.0,2.4,14.77,18.97,24.56,32.45,41.88,30710.0,39470.0,51080.0,67490.0,87100.0,2018,
46,13-1161,Market Research Analysts and Marketing Specialists,detailed,2190.0,10.7,28.07,58380.0,2.2,15.22,19.76,26.4,32.8,45.44,31650.0,41100.0,54910.0,68220.0,94510.0,2018,
47,13-1199,"Business Operations Specialists, All Other",detailed,3600.0,13.8,31.79,66120.0,2.8,16.84,21.79,30.73,38.4,47.82,35030.0,45320.0,63920.0,79880.0,99470.0,2018,
48,13-2011,Accountants and Auditors,detailed,4610.0,6.4,34.06,70830.0,1.9,19.69,24.41,30.5,38.91,54.15,40960.0,50770.0,63430.0,80930.0,112640.0,2018,
